canonical_skill,category,subcategory,job_count,demand_percentage
SQL,Data & Analytics,Query Languages,1298,60.25998142989787
Excel,BI & Reporting,Spreadsheets,825,38.3008356545961
Python,Programming & Data,Programming Languages,760,35.28319405756732
Tableau,BI & Reporting,BI Tools,685,31.801299907149488
Power BI,BI & Reporting,BI Tools,578,26.83379758588672
Data Visualization,Data & Analytics,Visualization,260,12.070566388115136
Data Analysis,Data & Analytics,Analysis,212,9.842154131847725
Statistics,Data & Analytics,Statistics,180,8.356545961002785
