skill,level
SQL,3
Excel,3
Python,1
Tableau,1
Power BI,0
R,0
Data Visualization,1
Data Analysis,1
Data Modeling,0
Statistics,1
ETL,0
Snowflake,0
AWS,0
Machine Learning,0
